county_FIPS,NAME,Percent_Uninsured,Year
0500000US25025,"Suffolk County, Massachusetts",6.4,2010
0500000US25027,"Worcester County, Massachusetts",3.9,2010
0500000US26005,"Allegan County, Michigan",12.5,2010
0500000US26017,"Bay County, Michigan",11.7,2010
0500000US26021,"Berrien County, Michigan",12.6,2010
0500000US26025,"Calhoun County, Michigan",14.0,2010
0500000US26037,"Clinton County, Michigan",8.1,2010
0500000US26045,"Eaton County, Michigan",9.9,2010
0500000US26049,"Genesee County, Michigan",10.3,2010
0500000US26055,"Grand Traverse County, Michigan",13.8,2010
0500000US26065,"Ingham County, Michigan",8.9,2010
0500000US26073,"Isabella County, Michigan",12.7,2010
0500000US26075,"Jackson County, Michigan",13.6,2010
0500000US26077,"Kalamazoo County, Michigan",10.2,2010
0500000US26081,"Kent County, Michigan",11.7,2010
0500000US26087,"Lapeer County, Michigan",14.0,2010
0500000US26091,"Lenawee County, Michigan",12.9,2010
0500000US26093,"Livingston County, Michigan",7.8,2010
0500000US26099,"Macomb County, Michigan",12.0,2010
0500000US26103,"Marquette County, Michigan",10.1,2010
0500000US26111,"Midland County, Michigan",9.7,2010
0500000US26115,"Monroe County, Michigan",9.4,2010
0500000US26121,"Muskegon County, Michigan",13.6,2010
0500000US26125,"Oakland County, Michigan",10.9,2010
0500000US26139,"Ottawa County, Michigan",9.4,2010
0500000US26145,"Saginaw County, Michigan",13.1,2010
0500000US26147,"St. Clair County, Michigan",13.4,2010
0500000US26155,"Shiawassee County, Michigan",11.6,2010
0500000US26159,"Van Buren County, Michigan",15.2,2010
0500000US26161,"Washtenaw County, Michigan",8.5,2010
0500000US26163,"Wayne County, Michigan",15.6,2010
0500000US27003,"Anoka County, Minnesota",8.9,2010
0500000US27019,"Carver County, Minnesota",6.1,2010
0500000US27037,"Dakota County, Minnesota",6.7,2010
0500000US27053,"Hennepin County, Minnesota",10.4,2010
0500000US27109,"Olmsted County, Minnesota",7.6,2010
0500000US27123,"Ramsey County, Minnesota",10.7,2010
0500000US27137,"St. Louis County, Minnesota",8.8,2010
0500000US27139,"Scott County, Minnesota",8.4,2010
0500000US27141,"Sherburne County, Minnesota",10.2,2010
0500000US27145,"Stearns County, Minnesota",8.5,2010
0500000US27163,"Washington County, Minnesota",6.0,2010
0500000US27171,"Wright County, Minnesota",7.2,2010
0500000US28033,"DeSoto County, Mississippi",14.9,2010
0500000US28035,"Forrest County, Mississippi",15.6,2010
0500000US28047,"Harrison County, Mississippi",20.9,2010
0500000US28049,"Hinds County, Mississippi",18.6,2010
0500000US28059,"Jackson County, Mississippi",19.8,2010
0500000US28067,"Jones County, Mississippi",17.7,2010
0500000US28075,"Lauderdale County, Mississippi",15.6,2010
0500000US28081,"Lee County, Mississippi",16.9,2010
